Altium Designer Pick and Place Locations
C:\Users\isili\OneDrive\Desktop\multimodal-hw-00\multimodal_hw_00\multimodal_hw_00\Project Outputs for Free Documents\Pick Place\Pick Place for Multimodal.txt

========================================================================================================================
File Design Information:

Date:       04/04/26
Time:       06:32
Revision:   37949d5ebbc531061709f1094e6bc8c3e96c51c0
Variant:    No variations
Units used: mil

Designator Comment                     Layer       Footprint                     Center-X(mil) Center-Y(mil) Rotation Description                                                                                                                                                                 
GND        TESTPOINT_S                 TopLayer    TESTPOINT_S                   5334.262      3649.207      90       "Testpoint Surface Pad"                                                                                                                                                     
GND        TESTPOINT_S                 TopLayer    TESTPOINT_S                   5414.378      2953.086      90       "Testpoint Surface Pad"                                                                                                                                                     
GND        TESTPOINT_S                 TopLayer    TESTPOINT_S                   5073.903      4205.428      90       "Testpoint Surface Pad"                                                                                                                                                     
C20        CGA2B2C0G1H120J050BA        TopLayer    CAPTDK0402                    5201.318      3028.515      0        "CAP CER 12PF 50V C0G 0402"                                                                                                                                                 
C19        CGA2B2C0G1H120J050BA        TopLayer    CAPTDK0402                    5298.114      3096.582      270      "CAP CER 12PF 50V C0G 0402"                                                                                                                                                 
J1         FTSH-105-01-F-DV-P-TR       TopLayer    SAMTEC_FTSH-105-01-F-DV-P-TR  4675.393      3828.404      270      "Connector Header Surface Mount 10 position 0.050" (1.27mm)"                                                                                                                
TP1        TESTPOINT_S                 TopLayer    TESTPOINT_S                   5218.930      3748.570      180      "Testpoint Surface Pad"                                                                                                                                                     
R13        RMCF0402FT220K              TopLayer    RES-STACK-POLE-0402           5111.369      3692.017      0        "RES 220K OHM 1% 1/16W 0402"                                                                                                                                                
R12        RMCF0402FT93K1              TopLayer    RES-STACK-POLE-0402           5201.646      3692.093      0        "RES 93.1K OHM 1% 1/16W 0402"                                                                                                                                               
C18        C1005X5R1V105K050BC         TopLayer    CAPTDK0402                    5157.021      3765.228      90       "CAP CER 1UF 35V X5R 0402"                                                                                                                                                  
C61        C1005X7R1H104K050BB         BottomLayer CAPTDK0402                    5651.034      3298.023      270      "CAP CER 0.1UF 50V X7R 0402"                                                                                                                                                
U3         S25FL512SAGBHEA10           TopLayer    BGA5x5_S25FL512SAGBHEA10_INF  4704.673      2712.256      270      "FLASH - NOR Memory IC 512Mbit SPI - Quad I/O 133 MHz 24-BGA (6x8)"                                                                                                         
SC2        S0951-46R                   TopLayer    RF-SHIELD+CLIP                4924.117      3516.762      180      "RFI SHIELD CLIP MINI TIN SMD"                                                                                                                                              
L10        DFE201612E-2R2M=P2          TopLayer    IND_DFE2016_MUR-L             5171.860      4477.816      90       "2.2 µH Shielded Drum Core, Wirewound Inductor 1.8 A 116mOhm Max 0806 (2016 Metric)"                                                                                        
L9         DFE201612E-2R2M=P2          TopLayer    IND_DFE2016_MUR-L             5428.697      4285.167      270      "2.2 µH Shielded Drum Core, Wirewound Inductor 1.8 A 116mOhm Max 0806 (2016 Metric)"                                                                                        
U1         MAX20345BEWN+T              TopLayer    21-100260_W563H3+1_ADI        5295.657      4393.512      270      "PMIC with Ultra-Low IQ Voltage Regulators, Buck-Boost for Optical Sensing and Charger for Small Lithium Ion Systems"                                                       
L3         TESTPOINT_S                 TopLayer    TESTPOINT_S                   5606.337      4344.732      90       "Testpoint Surface Pad"                                                                                                                                                     
3V3D       TESTPOINT_S                 TopLayer    TESTPOINT_S                   5515.912      4144.512      90       "Testpoint Surface Pad"                                                                                                                                                     
1V8D       TESTPOINT_S                 TopLayer    TESTPOINT_S                   5020.351      4530.620      90       "Testpoint Surface Pad"                                                                                                                                                     
3V3L       TESTPOINT_S                 TopLayer    TESTPOINT_S                   5549.933      4382.800      90       "Testpoint Surface Pad"                                                                                                                                                     
TP11       TESTPOINT_S                 TopLayer    TESTPOINT_S                   5273.985      3627.632      90       "Testpoint Surface Pad"                                                                                                                                                     
GND        TESTPOINT_S                 TopLayer    TESTPOINT_S                   5586.785      4291.267      90       "Testpoint Surface Pad"                                                                                                                                                     
SYS        TESTPOINT_S                 TopLayer    TESTPOINT_S                   5175.084      4156.568      180      "Testpoint Surface Pad"                                                                                                                                                     
L7         DFE201612E-2R2M=P2          TopLayer    IND_DFE2016_MUR-L             5424.862      4468.599      270      "2.2 µH Shielded Drum Core, Wirewound Inductor 1.8 A 116mOhm Max 0806 (2016 Metric)"                                                                                        
J11        "SEMITEC 103AT-11"          TopLayer    NTC_connection                5359.713      4666.900      0        "NTC THERMISTOR 10KOHM 1%"                                                                                                                                                  
C64        CL05A225KO5NQNC             BottomLayer CAPTDK0402                    5220.114      4490.826      180      "CAP CER 2.2UF 16V X5R 0402"                                                                                                                                                
C41        C1005X7R1H104K050BB         TopLayer    CAPTDK0402                    4729.331      3132.874      270      "CAP CER 0.1UF 50V X7R 0402"                                                                                                                                                
D9         "SFH 7015"                  BottomLayer SFH_7015_OSR                  5072.058      3739.326      0        "Multi-Color LEDs Red / IR LED 655nm / 940nm"                                                                                                                               
D10        "SFH 2703"                  BottomLayer LED_SFH_2703_OSR              5008.365      3636.927      315      "SENSOR PHOTODIODE 940NM 2SMD"                                                                                                                                              
R8         RMCF0402FT100K              TopLayer    RES-STACK-POLE-0402           5077.124      4384.630      180      "RES 100K OHM 1% 1/16W 0402"                                                                                                                                                
SW1        "NANOT 240 AS"              TopLayer    TACTILE-SWITCH_-_TINY         5154.181      4250.122      90       "SWITCH TACTILE SPST-NO 0.02A 15V"                                                                                                                                          
U4         ADXL367BCCZ-RL7             TopLayer    ADXL367BCCZ-RL7               5526.883      3159.586      270      "Accelerometer X, Y, Z Axis ±2g, 4g, 8g 6.25Hz ~ 200Hz 12-LGA (2.2x2.3)"                                                                                                    
TP10       TESTPOINT_S                 TopLayer    TESTPOINT_S                   5137.969      4342.838      90       "Testpoint Surface Pad"                                                                                                                                                     
ISET       TESTPOINT_S                 TopLayer    TESTPOINT_S                   5502.819      4490.464      90       "Testpoint Surface Pad"                                                                                                                                                     
TP3        TESTPOINT_S                 TopLayer    TESTPOINT_S                   4944.529      4656.656      180      "Testpoint Surface Pad"                                                                                                                                                     
TP2        TESTPOINT_S                 BottomLayer TESTPOINT_S                   5567.314      3423.587      90       "Testpoint Surface Pad"                                                                                                                                                     
R11        RMCF0402FT10K0              BottomLayer RES-STACK-POLE-0402           5343.576      4550.597      0        "RES 10K OHM 1% 1/16W 0402"                                                                                                                                                 
R10        RMCF0603ZT0R00              TopLayer    RES-STACK-POLE-0603           4902.605      3976.182      90       "RES 0 OHM JUMPER 1/10W 0603"                                                                                                                                               
R9         RMCF0402FT100K              TopLayer    RES-STACK-POLE-0402           5373.106      4115.745      0        "RES 100K OHM 1% 1/16W 0402"                                                                                                                                                
R7         RMCF0603JG10K0              BottomLayer RES-STACK-POLE-0603           5385.633      4384.729      180      "RES 10K OHM 5% 1/10W 0603"                                                                                                                                                 
R5         RMCF0402FT100K              TopLayer    RES-STACK-POLE-0402           4724.624      4645.864      90       "RES 100K OHM 1% 1/16W 0402"                                                                                                                                                
R4         RMCF0603ZT0R00              TopLayer    RES-STACK-POLE-0603           4860.136      4659.774      180      "RES 0 OHM JUMPER 1/10W 0603"                                                                                                                                               
R3         RMCF0603ZT0R00              TopLayer    RES-STACK-POLE-0603           4862.215      4585.878      180      "RES 0 OHM JUMPER 1/10W 0603"                                                                                                                                               
R2         RMCF0402FT220K              TopLayer    RES-STACK-POLE-0402           5385.816      3241.791      90       "RES 220K OHM 1% 1/16W 0402"                                                                                                                                                
R1         RMCF0402FT93K1              TopLayer    RES-STACK-POLE-0402           5345.952      3315.696      180      "RES 93.1K OHM 1% 1/16W 0402"                                                                                                                                               
J2         TH-Connector                TopLayer    2-PIN-TH-CONN                 4572.037      4580.370      90       "Power Connector"                                                                                                                                                           
D1         DESD3V3S1BL-7B              TopLayer    TVSDIODE-0402                 4657.480      4643.701      270      "TVS DIODE 3.3V 7V DFN1006-2"                                                                                                                                               
C15        CL05A225KO5NQNC             TopLayer    CAPTDK0402                    5428.265      4377.205      0        "CAP CER 2.2UF 16V X5R 0402"                                                                                                                                                
C14        GRM188R61A226ME15D          TopLayer    CAPTDK0603                    5511.171      4284.840      90       "CAP CER 22UF 10V X5R 0603"                                                                                                                                                 
C13        GRM188R61A226ME15D          TopLayer    CAPTDK0603                    5082.104      4486.425      90       "CAP CER 22UF 10V X5R 0603"                                                                                                                                                 
C12        CL05A225KO5NQNC             TopLayer    CAPTDK0402                    5532.418      4430.801      0        "CAP CER 2.2UF 16V X5R 0402"                                                                                                                                                
C11        CL05A225KO5NQNC             TopLayer    CAPTDK0402                    5189.738      4373.559      270      "CAP CER 2.2UF 16V X5R 0402"                                                                                                                                                
C10        GRM188R61A226ME15D          TopLayer    CAPTDK0603                    5484.783      4598.091      90       "CAP CER 22UF 10V X5R 0603"                                                                                                                                                 
C9         GRM188R61A226ME15D          TopLayer    CAPTDK0603                    5564.846      4596.864      90       "CAP CER 22UF 10V X5R 0603"                                                                                                                                                 
C8         C1005X5R1V105K050BC         TopLayer    CAPTDK0402                    5248.865      4587.129      90       "CAP CER 1UF 35V X5R 0402"                                                                                                                                                  
C7         C1005X7R1H104K050BB         TopLayer    CAPTDK0402                    5085.291      4276.380      270      "CAP CER 0.1UF 50V X7R 0402"                                                                                                                                                
C6         CL05A225KO5NQNC             TopLayer    CAPTDK0402                    5228.186      4658.049      180      "CAP CER 2.2UF 16V X5R 0402"                                                                                                                                                
C5         GRM188R61A226ME15D          TopLayer    CAPTDK0603                    5312.782      4517.536      0        "CAP CER 22UF 10V X5R 0603"                                                                                                                                                 
C4         GRM188R61A226ME15D          TopLayer    CAPTDK0603                    5327.722      4241.217      270      "CAP CER 22UF 10V X5R 0603"                                                                                                                                                 
C3         GRM188R61A226ME15D          TopLayer    CAPTDK0603                    5235.855      4241.700      270      "CAP CER 22UF 10V X5R 0603"                                                                                                                                                 
C2         C1005X5R1A475K050BC         TopLayer    CAPTDK0402                    5245.156      3251.189      0        "CAP CER 4.7UF 10V X5R 0402"                                                                                                                                                
