Change Physical Footprint: Designator=AE1 Old Footprint=ANTENNA New Footprint=ANTENNA
Change Physical Footprint: Designator=C1 Old Footprint=CAPTDK0402 New Footprint=CAPTDK0402
Change Physical Footprint: Designator=C2 Old Footprint=CAPTDK0402 New Footprint=CAPTDK0402
Change Physical Footprint: Designator=C3 Old Footprint=CAPTDK0603 New Footprint=CAPTDK0603
Change Physical Footprint: Designator=C4 Old Footprint=CAPTDK0603 New Footprint=CAPTDK0603
Change Physical Footprint: Designator=C5 Old Footprint=CAPTDK0603 New Footprint=CAPTDK0603
Change Physical Footprint: Designator=C6 Old Footprint=CAPTDK0402 New Footprint=CAPTDK0402
Change Physical Footprint: Designator=C7 Old Footprint=CAPTDK0402 New Footprint=CAPTDK0402
Change Physical Footprint: Designator=C8 Old Footprint=CAPTDK0402 New Footprint=CAPTDK0402
Change Physical Footprint: Designator=C9 Old Footprint=CAPTDK0603 New Footprint=CAPTDK0603
Change Physical Footprint: Designator=C10 Old Footprint=CAPTDK0603 New Footprint=CAPTDK0603
Change Physical Footprint: Designator=C11 Old Footprint=CAPTDK0402 New Footprint=CAPTDK0402
Change Physical Footprint: Designator=C12 Old Footprint=CAPTDK0402 New Footprint=CAPTDK0402
Change Physical Footprint: Designator=C13 Old Footprint=CAPTDK0603 New Footprint=CAPTDK0603
Change Physical Footprint: Designator=C14 Old Footprint=CAPTDK0603 New Footprint=CAPTDK0603
Change Physical Footprint: Designator=C15 Old Footprint=CAPTDK0402 New Footprint=CAPTDK0402
Change Physical Footprint: Designator=C16 Old Footprint=CAPTDK0402 New Footprint=CAPTDK0402
Change Physical Footprint: Designator=C17 Old Footprint=CAPTDK0402 New Footprint=CAPTDK0402
Change Physical Footprint: Designator=C21 Old Footprint=CAPTDK0402 New Footprint=CAPTDK0402
Change Physical Footprint: Designator=C22 Old Footprint=CAPTDK0402 New Footprint=CAPTDK0402
Change Physical Footprint: Designator=C23 Old Footprint=CAPTDK0402 New Footprint=CAPTDK0402
Change Physical Footprint: Designator=C24 Old Footprint=CAPTDK0402 New Footprint=CAPTDK0402
Change Physical Footprint: Designator=C25 Old Footprint=CAPTDK0402 New Footprint=CAPTDK0402
Change Physical Footprint: Designator=C26 Old Footprint=CAPTDK0402 New Footprint=CAPTDK0402
Change Physical Footprint: Designator=C27 Old Footprint=CAPTDK0402 New Footprint=CAPTDK0402
Change Physical Footprint: Designator=C28 Old Footprint=CAPTDK0402 New Footprint=CAPTDK0402
Change Physical Footprint: Designator=C29 Old Footprint=CAPTDK0402 New Footprint=CAPTDK0402
Change Physical Footprint: Designator=C30 Old Footprint=CAPTDK0402 New Footprint=CAPTDK0402
Change Physical Footprint: Designator=C31 Old Footprint=CAPTDK0402 New Footprint=CAPTDK0402
Change Physical Footprint: Designator=C32 Old Footprint=CAPTDK0402 New Footprint=CAPTDK0402
Change Physical Footprint: Designator=C33 Old Footprint=CAPTDK0402 New Footprint=CAPTDK0402
Change Physical Footprint: Designator=C34 Old Footprint=CAPTDK0402 New Footprint=CAPTDK0402
Change Physical Footprint: Designator=C35 Old Footprint=CAPTDK0402 New Footprint=CAPTDK0402
